,pair,sentence,attitude
25,"author,россия"," Издание со ссылкой на срочное сообщение канала «АльДжазира» сообщало о заявлении МИД России согласно которому Россия не намерена оказывать на режим Асада давление с целью приостановить подготовку к штурму Алеппо
 Издание со ссылкой на срочное сообщение канала «АльДжазира» сообщало о заявлении МИД России согласно которому Россия не намерена оказывать на режим Асада давление с целью приостановить подготовку к штурму Алеппо
 Однако после визита в Москву спецпосланника ООН по Сирии Стаффана де Мистуры стало известно об изменении позиции МИДа РФ Россия обозначила готовность к дискуссии подчеркнув при этом что ее согласие будет возможно только при выполнении «ряда серьезных условий» и «требований» в том числе к вооруженной оппозиции отметило издание

 При этом Москва неоднократно подчеркивала что ее активность на Балтике является ответом именно на действия НАТО и эскалацию враждебного подхода к России вблизи ее восточных границ напоминает издание
 Среди них особое место занимает Финляндия для которой Россия в последние годы стала если не союзником то важным партнером ее с торговоэкономической точки зрения отмечает издание 
",neutral
26,"author,рф"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
 Однако после визита в Москву спецпосланника ООН по Сирии Стаффана де Мистуры стало известно об изменении позиции МИДа РФ Россия обозначила готовность к дискуссии подчеркнув при этом что ее согласие будет возможно только при выполнении «ряда серьезных условий» и «требований» в том числе к вооруженной оппозиции отметило издание

 Главы дипведомств РФ и КНР на совместной прессконференции охарактеризовали инициативу Вашингтона как «недопустимое внешнее вмешательство» в дела Корейского полуострова
",neutral
27,"author,сирия"," Однако в Дамаске действия Вашингтона резко осудили и назвали покушением на территориальный суверенитет Сирии 
 Почему же и в Москве и Дамаске которые также ведут борьбу против ИГ в Сирии действия Вашингтона вызвали столь резкую критику и каковы на самом деле цели США— задает вопрос Резахах
 В качестве примера Али Хаменеи привел ситуацию в которой ныне оказались европейские страны последовавшие сначала изза Сирии а затем изза Украины «на поводу у Америки»
",neutral
28,"author,сша"," Очевидно что Россия и КНР считают планы США по размещению комплекса ракет малой дальности на территории Республики Корея действиями которые «явно превышают потребности этого государства в самообороне» и которые на деле продиктованы иными мотивами указывает издание
 В общей сложности дополнительные силы НАТО на востоке Европы составят 4 батальона два батальона направят США и еще по одному — Великобритания и ФРГ передает газета
",neutral
29,"author,трамп"," Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
30,"author,украина"," В качестве примера Али Хаменеи привел ситуацию в которой ныне оказались европейские страны последовавшие сначала изза Сирии а затем изза Украины «на поводу у Америки»
",neutral
31,"author,финляндия"," СМИ Ирана Финляндия не хочет вступать в НАТО из страха перед Россией Среди них особое место занимает Финляндия для которой Россия в последние годы стала если не союзником то важным партнером ее с торговоэкономической точки зрения отмечает издание 
 Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
",neutral
32,"author,фрг"," В общей сложности дополнительные силы НАТО на востоке Европы составят 4 батальона два батальона направят США и еще по одному — Великобритания и ФРГ передает газета
",neutral
33,"author,халеб"," Однако в российском Минобороны как и в МИДе полагают что эти инициативы не должны касаться территорий где ведется борьба с террористами в частности к окрестностям Халеба отмечалось на портале Javan 105
",neutral
34,"author,швеция"," Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
",neutral
35,"javan,вашингтон"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
36,"javan,дамаск"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
37,"javan,москва"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
38,"javan,россия"," Но через пару дней тот же портал Javan 305 сообщил о смягчении позиции России по «расширению зоны перемирия» в Сирии 
",neutral
39,"javan,сирия"," Но через пару дней тот же портал Javan 305 сообщил о смягчении позиции России по «расширению зоны перемирия» в Сирии 
",neutral
40,"keyhan,нато"," Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
",neutral
41,"keyhan,финляндия"," Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
",neutral
42,"keyhan,швеция"," Keyhan сообщает о докладе подготовленном для премьерминистра Финляндии в котором отмечается что лучшей альтернативой для страны был бы военный союз с соседней Швецией нежели членство в военной организации НАТО 
",neutral
43,"resalat,алеми"," Кандидатуру республиканца Дональда Трампа на пост президента США видят весьма одиозной европейские политики премьерминистр Италии канцлер ФРГ и глава внешнеполитического ведомства Германии Вальтер Штайнмайер отмечает обозреватель Resalat 105 Али Алеми Ali Alemi 
",neutral
44,"алеми,глава немецкий мид"," Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
45,"алеми,мид"," Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
46,"алеми,россия"," Последний отметил Алеми наиболее откровенно выразил свое неудовольствие относительно Трампа и его предвыборной программы следующими словами «Все мировые конфликты найдут разрешение лишь тогда когда такие мировые силы как Россия и США смогут договориться и объединить усилия» 
",neutral
47,"алеми,сша"," Последний отметил Алеми наиболее откровенно выразил свое неудовольствие относительно Трампа и его предвыборной программы следующими словами «Все мировые конфликты найдут разрешение лишь тогда когда такие мировые силы как Россия и США смогут договориться и объединить усилия» 
",neutral
48,"алеми,трамп"," Последний отметил Алеми наиболее откровенно выразил свое неудовольствие относительно Трампа и его предвыборной программы следующими словами «Все мировые конфликты найдут разрешение лишь тогда когда такие мировые силы как Россия и США смогут договориться и объединить усилия» 
 Однако полагает Алеми подобное замечание главы немецкого МИДа явно подразумевает критику основного внешнеполитическим концепта Трампа утверждающего что безопасность в мире должна обеспечиваться «лидерством в мировой политике США»
",neutral
49,"алеппо,javan"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
50,"алеппо,мид"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
51,"алеппо,москва"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
52,"алеппо,россия"," Издание отметило что действительно по мере подготовки решающего штурма Алеппо сирийской армией Россия неоднократно заявляла об отказе обсуждать этот вопрос 
",neutral
53,"алеппо,рф"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
54,"алеппо,сирия"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
55,"али хаменей,иран"," Аятолла Али Хаменеи давая оценку иранокорейским отношениям в ходе визита в ИРИ президента Республики Корея отметил что они никоим образом не должны ставиться в зависимость от санкций навязанных Ирану США передает Resalat 405 
",neutral
56,"али хаменей,ири"," Аятолла Али Хаменеи давая оценку иранокорейским отношениям в ходе визита в ИРИ президента Республики Корея отметил что они никоим образом не должны ставиться в зависимость от санкций навязанных Ирану США передает Resalat 405 
",neutral
57,"али хаменей,республика корея"," Аятолла Али Хаменеи давая оценку иранокорейским отношениям в ходе визита в ИРИ президента Республики Корея отметил что они никоим образом не должны ставиться в зависимость от санкций навязанных Ирану США передает Resalat 405 
",neutral
58,"али хаменей,сирия"," В качестве примера Али Хаменеи привел ситуацию в которой ныне оказались европейские страны последовавшие сначала изза Сирии а затем изза Украины «на поводу у Америки»
",neutral
59,"али хаменей,украина"," В качестве примера Али Хаменеи привел ситуацию в которой ныне оказались европейские страны последовавшие сначала изза Сирии а затем изза Украины «на поводу у Америки»
",neutral
60,"асад,алеппо"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
61,"асад,мид"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
62,"асад,рф"," «Мы не можем оказывать давление на администрацию Асада поскольку борьба за Алеппо — это часть борьбы против терроризма» — цитирует издание замглавы МИД РФ Геннадия Гатилова
",neutral
63,"балтийский,hamshahri"," Руководители НАТО подчеркивают что будут действовать строго в рамках соглашения с РФ от 1997 года но вместе с тем в Брюсселе объясняют необходимость этих шагов «ростом военной активности России» в последнее время в Балтийском регионе поясняет Hamshahri 
",neutral
64,"балтика,нато"," При этом Москва неоднократно подчеркивала что ее активность на Балтике является ответом именно на действия НАТО и эскалацию враждебного подхода к России вблизи ее восточных границ напоминает издание
",neutral
65,"балтика,россия"," При этом Москва неоднократно подчеркивала что ее активность на Балтике является ответом именно на действия НАТО и эскалацию враждебного подхода к России вблизи ее восточных границ напоминает издание
",neutral
66,"балтия,hamshahri"," До 4 тысяч военнослужащих намерен сосредоточить Североатлантический альянс у границ России на территории Польши и стран Балтии сообщает Hamshahri 3004 
",neutral
67,"белый дом,дамаск"," По его мнению на самом деле цель Белого дома предельно проста — чтобы эти провинции перешли под контроль сил союзных кому угодно в крайнем случае террористам но только не Дамаску и не Москве
",neutral
68,"брюссель,hamshahri"," Руководители НАТО подчеркивают что будут действовать строго в рамках соглашения с РФ от 1997 года но вместе с тем в Брюсселе объясняют необходимость этих шагов «ростом военной активности России» в последнее время в Балтийском регионе поясняет Hamshahri 
",neutral
69,"брюссель,балтийский"," Руководители НАТО подчеркивают что будут действовать строго в рамках соглашения с РФ от 1997 года но вместе с тем в Брюсселе объясняют необходимость этих шагов «ростом военной активности России» в последнее время в Балтийском регионе поясняет Hamshahri 
",neutral
70,"вальтер штайнмайер,resalat"," Кандидатуру республиканца Дональда Трампа на пост президента США видят весьма одиозной европейские политики премьерминистр Италии канцлер ФРГ и глава внешнеполитического ведомства Германии Вальтер Штайнмайер отмечает обозреватель Resalat 105 Али Алеми Ali Alemi 
",neutral
71,"вальтер штайнмайер,алеми"," Кандидатуру республиканца Дональда Трампа на пост президента США видят весьма одиозной европейские политики премьерминистр Италии канцлер ФРГ и глава внешнеполитического ведомства Германии Вальтер Штайнмайер отмечает обозреватель Resalat 105 Али Алеми Ali Alemi 
",neutral
72,"вашингтон,дамаск"," Беспокойство США очевидно тот кто окажется победителем в борьбе за Алеппо фактически победит в борьбе за всю Сирию отмечал Javan и делал вывод в Москве подозревают что просьбы Вашингтона — не более чем очередная попытка предоставить передышку оппозиции ведущей борьбу с Дамаском а заодно и боевикам
",neutral
73,"вашингтон,сирия"," Однако в Дамаске действия Вашингтона резко осудили и назвали покушением на территориальный суверенитет Сирии 
",neutral
74,"великобритания,фрг"," В общей сложности дополнительные силы НАТО на востоке Европы составят 4 батальона два батальона направят США и еще по одному — Великобритания и ФРГ передает газета
",neutral
75,"вкс,дираззур"," C другой стороны сирийская армия при поддержке российских ВКС недавно освободила древний город Пальмиру откуда остается буквально шаг до северовосточных провинций Ракка и Дираззур остающихся пока под властью ИГ 
",neutral
76,"вкс,пальмира"," C другой стороны сирийская армия при поддержке российских ВКС недавно освободила древний город Пальмиру откуда остается буквально шаг до северовосточных провинций Ракка и Дираззур остающихся пока под властью ИГ 
",neutral
77,"вкс,ракка"," C другой стороны сирийская армия при поддержке российских ВКС недавно освободила древний город Пальмиру откуда остается буквально шаг до северовосточных провинций Ракка и Дираззур остающихся пока под властью ИГ 
",neutral
78,"владимир путин,мвд"," Владимир Путин отправил в отставку сразу семь высокопоставленных силовиков среди них — южный транспортный прокурор начальник Управления федеральной службы исполнения наказаний по городу Москва а также замглавы МВД Республики Крым 
",neutral
79,"владимир путин,москва"," Владимир Путин отправил в отставку сразу семь высокопоставленных силовиков среди них — южный транспортный прокурор начальник Управления федеральной службы исполнения наказаний по городу Москва а также замглавы МВД Республики Крым 
",neutral
